split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
test,1,sigma_F,7582,0.03950933840424522,0.02025226403968185,7582,0.03950934460318529,0.020252267150805324,-6.198940069590542e-09,-3.111123473426014e-09,1.568980739075782e-07,1.5361852824967802e-07
test,1,sigma_N,7582,0.13817237574842772,0.06343080393873711,7582,0.13817236974546723,0.06343081179810715,6.002960489803755e-09,-7.859370043661329e-09,-4.344544789136963e-08,1.2390461072257412e-07
test,1,sigma_T,7582,0.07016276589451587,0.03643402902974959,7582,0.07016275783521964,0.036434025910764785,8.059296230378266e-09,3.118984806538272e-09,-1.1486572761729067e-07,-8.560637284985675e-08
test,1,yF,7582,0.11596744338200424,0.06966041279669269,7582,0.12235731782177724,0.06972551372946802,-0.0063898744397729995,-6.510093277532769e-05,0.05222306727154921,0.0009336744800176949
test,1,yN,7582,0.09098875623940786,0.055656220566405686,7582,0.09553779330623592,0.05668835822061447,-0.004549037066828063,-0.0010321376542087868,0.04761505273883209,0.018207224315652425
test,1,yT,7582,0.17881596748125553,0.11581857123937182,7582,0.1960227002574772,0.10757628101310136,-0.017206732776221673,0.00824229022627046,0.08777928655008072,-0.0766180997209474
test,2,all,6826,0.12536554683404666,0.07890923866172529,6826,0.15193268463914192,0.09094989380217738,-0.02656713780509526,-0.012040655140452092,0.1748612411358053,0.13238778669320264
test,2,delta_yF,6826,0.12395032618517214,0.07683096031900938,6826,0.17854819562874494,0.10976494153442531,-0.0545978694435728,-0.032933981215415936,0.3057878532533484,0.30004098535493623
test,2,delta_yN,6826,0.10777407517668872,0.0694409849494914,6826,0.13543177493310934,0.08665684876931297,-0.02765769975642063,-0.01721586381982157,0.20421869070298274,0.19866708822578455
test,2,delta_yT,6826,0.19257572483008184,0.12641872414528293,6826,0.28932626793942273,0.18511536629221637,-0.09675054310934089,-0.05869664214693343,0.33439944391636744,0.317081414269397
test,2,sigma_F,6826,0.04298339924312498,0.022706789422726793,6826,0.04298340314994802,0.022706787274654333,-3.906823045629615e-09,2.1480724594902245e-09,9.08914315602379e-08,-9.46004572777205e-08
test,2,sigma_N,6826,0.1489690713516195,0.07319875774479946,6826,0.1489690383125498,0.07319877714621612,3.303906970231196e-08,-1.940141665379702e-08,-2.217848089546847e-07,2.6505110345002457e-07
test,2,sigma_T,6826,0.08007679727490385,0.04394864959169126,6826,0.0800767882541445,0.04394864383730202,9.020759361710873e-09,5.754389235945734e-09,-1.1265136325249646e-07,-1.309343982774189e-07
test,2,yF,6826,0.12925529804631003,0.08317077077800775,6826,0.14165099822370472,0.08378983441813405,-0.012395700177394692,-0.0006190636401263022,0.08750873860993605,0.007388290529815424
test,2,yN,6826,0.0967664937981575,0.06280531240215129,6826,0.10454407289873392,0.06482659427870972,-0.007777579100576429,-0.0020212818765584367,0.07439521806377432,0.03117982517897387
test,2,yT,6826,0.20593873560036136,0.15166219860236735,6826,0.24586362241191953,0.14854125066862545,-0.039924886811558175,0.003120947933741902,0.16238631164665784,-0.021010648016585618
test,3,all,6145,0.12901281237093387,0.08528828188842981,6145,0.1572064615791914,0.09664708827842414,-0.028193649208257537,-0.011358806389994328,0.17934154184912576,0.11752869737028705
test,3,delta_yF,6145,0.13060409673739823,0.0859372809032195,6145,0.18007820578114475,0.11247707906295072,-0.04947410904374652,-0.026539798159731218,0.2747367946561735,0.23595739132661447
test,3,delta_yN,6145,0.10062981072502056,0.06424075194351841,6145,0.13311257756553785,0.08531485568516811,-0.03248276684051729,-0.021074103741649697,0.2440247753787536,0.24701564073926466
test,3,delta_yT,6145,0.2025778518383142,0.14351720759498093,6145,0.2862255735632716,0.18498643706541318,-0.08364772172495741,-0.041469229470432245,0.29224405312080426,0.22417443207346213
