evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,estimand,endpoint,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,metric,estimate,status
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_mae,0.3995093302719043,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_rmse,0.46078048971976143,estimated
fresh_primary,A1,1729,seed,2,site_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,risk_nll,,not_estimable
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,brier,0.32984134786756913,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,pr_auc,0.321091850828749,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,ece10,0.4013206049932568,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,reliability_bias,0.40132060499325684,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.4051796157059315,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.6466666666666666,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,precision,0.1624790619765494,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,macro_f1,0.3595692643496763,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_mae,0.4309920709121876,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_rmse,0.48333831917874037,estimated
fresh_primary,A1,1729,seed,3,observation_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_nll,,not_estimable
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,brier,0.32894884742007646,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,pr_auc,0.2545913169820285,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,ece10,0.3869755229491404,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,reliability_bias,0.3829283521071641,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,f2,0.38340895021610155,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,recall,0.593803067411851,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,precision,0.1586126909089301,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,macro_f1,0.36092837560177676,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_mae,0.4310190309117878,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_rmse,0.484258038258022,estimated
fresh_primary,A1,1729,seed,3,site_weighted,bloom_30_ugL,2286,2286,2286,885,885,885,risk_nll,,not_estimable
fresh_primary,A1,314159,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.3185569546535146,estimated
fresh_primary,A1,314159,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.4271870451245786,estimated
fresh_primary,A1,314159,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.4131155581704798,estimated
