evaluation_cohort,model_id,horizon_months,chlorophyll_cutoff_ugL,primary_endpoint,metric,estimate,rows,interpretation,inference_performed
fresh_primary,B2,3,33.0,False,recall,0.4015151515151515,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,33.0,False,precision,0.6235294117647059,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,33.0,False,macro_f1,0.7085023486577191,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,50.0,False,brier,0.07003385826915987,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,50.0,False,f2,0.40114613180515757,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,50.0,False,recall,0.42424242424242425,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,50.0,False,precision,0.32941176470588235,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B2,3,50.0,False,macro_f1,0.6560913653673881,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,M0,1,25.0,False,brier,0.290349491459815,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,M0,1,25.0,False,f2,0.5292726197516262,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,M0,1,25.0,False,recall,0.9226804123711341,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,M0,1,25.0,False,precision,0.19562841530054645,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,M0,1,25.0,False,macro_f1,0.20514907851040914,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,M0,1,30.0,True,brier,0.2936111337643775,966,primary_calibrated_endpoint,False
fresh_primary,M0,1,30.0,True,f2,0.48181238034460755,966,primary_calibrated_endpoint,False
fresh_primary,M0,1,30.0,True,recall,0.9263803680981595,966,primary_calibrated_endpoint,False
