evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots,artifact_path,authority_commit,limitation
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,brier,lower,0.9979289524,descriptive_available,0.001419503984,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,pr_auc,higher,1.034623053,descriptive_available,0.02673548394,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,brier,lower,0.998695137,descriptive_available,0.002914728019,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,pr_auc,higher,1.041257323,descriptive_available,0.1010351956,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,brier,lower,0.9962660073,descriptive_available,0.001581942252,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,pr_auc,higher,1.022260261,descriptive_available,0.04198755293,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,brier,lower,0.9458176218,descriptive_available,0.01020504917,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,pr_auc,higher,0.9089526965,descriptive_available,0.0181725101,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,brier,lower,0.9643223748,descriptive_available,0.004653674567,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,pr_auc,higher,0.9488472164,descriptive_available,0.0211995562,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,brier,lower,0.9464081934,descriptive_available,0.0197873771,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,mcar,pr_auc,higher,0.9162422481,descriptive_available,0.03223828804,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,brier,lower,0.9613276108,descriptive_available,0.01678015705,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,1,site_weighted,temporal_block,pr_auc,higher,0.9470453428,descriptive_available,0.039579028,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,brier,lower,0.9548510415,descriptive_available,0.01736651084,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,pr_auc,higher,0.9318391862,descriptive_available,0.01063088377,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,brier,lower,0.9693260725,descriptive_available,0.01173060584,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,pr_auc,higher,0.9521269276,descriptive_available,0.01164305974,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,brier,lower,0.969533648,descriptive_available,0.01480323163,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,pr_auc,higher,0.9435674382,descriptive_available,0.03453064743,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,brier,lower,0.9775847634,descriptive_available,0.01322780542,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,pr_auc,higher,0.948502446,descriptive_available,0.03404194411,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
