score_name,horizon_months,split,source_id,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
irc1_no_chla_calibrated,3,test,wqp,43696,0.2,7933,0.1815497986085683,0.3233505715326696,0.6895913348955669,0.13637747197216996,0.653472834993067,0.585909082910413
blend_irc1_w0p25,3,test,all,99670,0.3133646594283974,14639,0.1468746864653356,0.6114661652439906,0.8671552449704739,0.08414713863921869,0.6272286358357811,0.7644843845611002
blend_irc1_w0p25,3,test,aquamatch_chla,55831,0.3133646594283974,6689,0.11980799197578407,0.5381133610873559,0.8601167008068046,0.07516536571948297,0.591867244730154,0.7488949058879542
blend_irc1_w0p25,3,test,lakebed_us_cse,143,0.3133646594283974,17,0.11888111888111888,0.467098996239956,0.8300653594771241,0.08072533596913367,0.5294117647058824,0.7329598506069095
blend_irc1_w0p25,3,test,wqp,43696,0.3133646594283974,7933,0.1815497986085683,0.66480089500464,0.8665976051373602,0.09563447573331398,0.6572545064918695,0.775703662796062
gate_full_irc1_w0p25,3,test,all,99670,0.2847636512949957,14639,0.1468746864653356,0.6062689482699112,0.8617146860883467,0.08483331205756454,0.6489514311086823,0.7627697061546896
gate_full_irc1_w0p25,3,test,aquamatch_chla,55831,0.2847636512949957,6689,0.11980799197578407,0.5369635752762887,0.859967346132956,0.07596785515420781,0.6066676633278517,0.746588742262462
gate_full_irc1_w0p25,3,test,lakebed_us_cse,143,0.2847636512949957,17,0.11888111888111888,0.5482202142317054,0.8429038281979458,0.0787195940891182,0.5882352941176471,0.709349593495935
gate_full_irc1_w0p25,3,test,wqp,43696,0.2847636512949957,7933,0.1815497986085683,0.6607621931468344,0.8631193055445598,0.09618084011598634,0.6847346527165007,0.7741726518919569
gate_trophic_irc1_w0p25,3,test,all,99670,0.3,14639,0.1468746864653356,0.6079903062742846,0.8644636174362881,0.08463177285557749,0.6394562470114079,0.7630157580132186
gate_trophic_irc1_w0p25,3,test,aquamatch_chla,55831,0.3,6689,0.11980799197578407,0.5374270448060148,0.8600032576352107,0.07553400472636014,0.6027806847062341,0.7472538064433851
gate_trophic_irc1_w0p25,3,test,lakebed_us_cse,143,0.3,17,0.11888111888111888,0.468585538921967,0.8473389355742297,0.0814574226132074,0.5294117647058824,0.7050906328014762
gate_trophic_irc1_w0p25,3,test,wqp,43696,0.3,7933,0.1815497986085683,0.6597152779920725,0.8619595792050598,0.09626650886132157,0.6706164124543048,0.7743923659028058
gate_exogenous_no_chla_w0p25,3,test,all,99670,0.3,14639,0.1468746864653356,0.5838503310044916,0.8404495123399256,0.0858547659145796,0.6302343056219687,0.7624617315504874
gate_exogenous_no_chla_w0p25,3,test,aquamatch_chla,55831,0.3,6689,0.11980799197578407,0.5302772627099147,0.8528263327295583,0.07622972700918208,0.5861862759754821,0.7448829820911341
gate_exogenous_no_chla_w0p25,3,test,lakebed_us_cse,143,0.3,17,0.11888111888111888,0.518120189886244,0.7943510737628385,0.07923240078909613,0.5882352941176471,0.717948717948718
gate_exogenous_no_chla_w0p25,3,test,wqp,43696,0.3,7933,0.1815497986085683,0.6375878316893584,0.8431396771324776,0.09817448729274222,0.6674650195386361,0.7751595471909666
blend_irc1_w0p5,3,test,all,99670,0.2972307629057881,14639,0.1468746864653356,0.6063834654345542,0.8663451230484682,0.0844910590768493,0.6257258009426874,0.7628553922675723
blend_irc1_w0p5,3,test,aquamatch_chla,55831,0.2972307629057881,6689,0.11980799197578407,0.5383421690610464,0.8601001817287206,0.07499250805392471,0.5947077291074899,0.7482590182432868
blend_irc1_w0p5,3,test,lakebed_us_cse,143,0.2972307629057881,17,0.11888111888111888,0.42899984863234447,0.8295985060690944,0.0849680568200941,0.5294117647058824,0.7430830039525691
