model_version,source_id,horizon_months,split,decile,rows,bloom_positive,bloom_rate,base_bloom_rate,lift,capture_rate,cumulative_capture_rate,mean_pred_probability,min_pred_probability,max_pred_probability
current_refined_fuzzy_v0,wqp,1,test,6,5515,117,0.021214868540344513,0.1619734909611793,0.13097741126928694,0.013097503638195455,0.9716780476883465,0.02963812706328761,0.02820352405418568,0.03183654343959724
current_refined_fuzzy_v0,wqp,1,test,7,5515,128,0.023209428830462377,0.1619734909611793,0.1432915268587071,0.014328892869136908,0.9860069405574835,0.02784309217999557,0.025168092516891193,0.02820352405418568
current_refined_fuzzy_v0,wqp,1,test,8,5515,80,0.014505893019038985,0.1619734909611793,0.08955720428669194,0.008955558043210568,0.9949624986006941,0.023722238726814088,0.02267282328709013,0.025168092516891193
current_refined_fuzzy_v0,wqp,1,test,9,5515,32,0.005802357207615594,0.1619734909611793,0.03582288171467678,0.003582223217284227,0.9985447218179783,0.021220850174589627,0.020458709181176142,0.02267282328709013
current_refined_fuzzy_v0,wqp,1,test,10,5515,13,0.002357207615593835,0.1619734909611793,0.014553045696587441,0.0014552781820217173,1.0,0.020229915292424076,0.019991191873721996,0.020458709181176142
current_refined_fuzzy_v0,all,1,validation,1,16311,11405,0.6992213843418552,0.1257188400465943,5.561786794109042,0.5561786794109042,0.5561786794109042,0.6658320258391774,0.48746271211306175,0.8865339720769125
current_refined_fuzzy_v0,all,1,validation,2,16311,4762,0.2919502176445344,0.1257188400465943,2.3222471471764368,0.2322247147176436,0.7884033941285478,0.31166805716432716,0.17527829313543597,0.48746271211306175
current_refined_fuzzy_v0,all,1,validation,3,16311,1819,0.11151983324137085,0.1257188400465943,0.887057446600995,0.08870574466009948,0.8771091387886473,0.10081712745444515,0.044784438912765484,0.17527829313543597
current_refined_fuzzy_v0,all,1,validation,4,16311,912,0.05591318741953283,0.1257188400465943,0.4447478786696577,0.044474787866965765,0.921583926655613,0.036745111404886614,0.03183654343959698,0.04478443870688319
current_refined_fuzzy_v0,all,1,validation,5,16311,588,0.036049291888909325,0.1257188400465943,0.28674534282648984,0.028674534282648982,0.9502584609382619,0.02903925620885978,0.027908838995137256,0.03183654343959697
current_refined_fuzzy_v0,all,1,validation,6,16311,388,0.023787627981117037,0.1257188400465943,0.18921291329367015,0.018921291329367016,0.969179752267629,0.026687238954060305,0.02267282328709013,0.027908838995137256
current_refined_fuzzy_v0,all,1,validation,7,16311,184,0.011280730795168904,0.1257188400465943,0.08972983517019409,0.008972983517019409,0.9781527357846483,0.02267282328709013,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,all,1,validation,8,16311,205,0.012568205505487094,0.1257188400465943,0.09997074027114015,0.009997074027114016,0.9881498098117624,0.02267282328709013,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,all,1,validation,9,16311,130,0.007970081540064986,0.1257188400465943,0.06339607919633278,0.006339607919633278,0.9944894177313957,0.02267282328709013,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,all,1,validation,10,16311,113,0.006927840107902643,0.1257188400465943,0.05510582268604312,0.005510582268604311,1.0,0.02167026094776854,0.019991191873721996,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,validation,1,11045,7147,0.6470801267541875,0.11205780357288375,5.774520882281248,0.5774886877828054,0.5774886877828054,0.6131161292483605,0.4421039549945514,0.7992129321768557
current_refined_fuzzy_v0,aquamatch_chla,1,validation,2,11044,2621,0.237323433538573,0.11205780357288375,2.117866190231142,0.2117808661926309,0.7892695539754363,0.2659406931628489,0.14953952074391988,0.4421039549945514
current_refined_fuzzy_v0,aquamatch_chla,1,validation,3,11044,1052,0.09525534226729446,0.11205780357288375,0.850055410958856,0.0850032320620556,0.8742727860374919,0.07373879344957882,0.03767491169052749,0.14953952074391988
current_refined_fuzzy_v0,aquamatch_chla,1,validation,4,11045,580,0.05251244907197827,0.11205780357288375,0.46861929644929673,0.04686489980607628,0.9211376858435681,0.031380075425704694,0.02820352405418568,0.03767491169052749
current_refined_fuzzy_v0,aquamatch_chla,1,validation,5,11044,360,0.03259688518652662,0.11205780357288375,0.29089348663991266,0.029088558500323207,0.9502262443438914,0.027428981831514782,0.025168092516891193,0.02820352405418568
current_refined_fuzzy_v0,aquamatch_chla,1,validation,6,11044,135,0.012223831944947482,0.11205780357288375,0.10908505748996726,0.010908209437621202,0.9611344537815126,0.022994296384059067,0.02267282328709013,0.025168092516891193
current_refined_fuzzy_v0,aquamatch_chla,1,validation,7,11045,142,0.012856496152105025,0.11205780357288375,0.1147309311996554,0.011473820297349708,0.9726082740788623,0.02267282328709013,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,validation,8,11044,67,0.006066642520825788,0.11205780357288375,0.0541385100135393,0.005413703943115708,0.978021978021978,0.022672823287090135,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,validation,9,11044,137,0.012404925751539297,0.11205780357288375,0.11070113241574454,0.011069812540400776,0.9890917905623788,0.022672823287090135,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,aquamatch_chla,1,validation,10,11044,135,0.012223831944947482,0.11205780357288375,0.10908505748996726,0.010908209437621202,1.0,0.022672823287090135,0.02267282328709013,0.02267282328709013
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,1,45,10,0.2222222222222222,0.12359550561797752,1.797979797979798,0.18181818181818182,0.18181818181818182,0.7395046025839002,0.6844590321154947,0.8176585082963517
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,2,44,16,0.36363636363636365,0.12359550561797752,2.9421487603305785,0.2909090909090909,0.4727272727272727,0.6402135428215072,0.5724775264297098,0.6844590321154947
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,3,45,10,0.2222222222222222,0.12359550561797752,1.797979797979798,0.18181818181818182,0.6545454545454545,0.4345270084145619,0.3049636340096468,0.5724775264297098
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,4,44,7,0.1590909090909091,0.12359550561797752,1.287190082644628,0.12727272727272726,0.7818181818181819,0.21498651703925084,0.14934819421330764,0.2998386964161584
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,5,45,6,0.13333333333333333,0.12359550561797752,1.0787878787878789,0.10909090909090909,0.8909090909090909,0.10917744936669652,0.04735553226987525,0.14913776879549562
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,6,44,2,0.045454545454545456,0.12359550561797752,0.3677685950413223,0.03636363636363636,0.9272727272727272,0.03324149253083026,0.02791690109085571,0.046939953980489287
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,7,45,2,0.044444444444444446,0.12359550561797752,0.35959595959595964,0.03636363636363636,0.9636363636363636,0.026947245836026305,0.025168092516891193,0.027910083009942504
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,8,44,2,0.045454545454545456,0.12359550561797752,0.3677685950413223,0.03636363636363636,1.0,0.02221960800300932,0.0212768926446738,0.02279112717299387
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,9,45,0,0.0,0.12359550561797752,0.0,0.0,1.0,0.020805422242172678,0.020458709181176142,0.0212768926446738
current_refined_fuzzy_v0,lakebed_us_cse,1,validation,10,44,0,0.0,0.12359550561797752,0.0,0.0,1.0,0.020235577204936073,0.019991191873721996,0.020458709181176142
current_refined_fuzzy_v0,wqp,1,validation,1,5223,4101,0.7851809304997128,0.1546283175673088,5.077859882669474,0.5078637770897833,0.5078637770897833,0.7492866897050292,0.6145225208190535,0.8865339720769125
current_refined_fuzzy_v0,wqp,1,validation,2,5222,2119,0.4057832248180774,0.1546283175673088,2.62424911039624,0.2624148606811145,0.7702786377708978,0.4168101998323994,0.23440337280641466,0.6145225208190535
current_refined_fuzzy_v0,wqp,1,validation,3,5222,872,0.1669858291842206,0.1546283175673088,1.0799175197100148,0.1079876160990712,0.878266253869969,0.154747577746059,0.07812095918653296,0.23440337280641466
current_refined_fuzzy_v0,wqp,1,validation,4,5222,401,0.0767905017234776,0.1546283175673088,0.49661344656389433,0.04965944272445821,0.9279256965944273,0.05498684022210373,0.04307396307396308,0.07812095918653296
current_refined_fuzzy_v0,wqp,1,validation,5,5222,205,0.039256989659134434,0.1546283175673088,0.25387969213366174,0.025386996904024767,0.953312693498452,0.03638275364362108,0.03215070215070215,0.04307396307396308
