evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,brier,lower,0.9229565377191564,descriptive_available,0.01805406839699585,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,mcar,pr_auc,higher,0.8269217070072903,descriptive_available,0.06464030222446887,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,brier,lower,0.9516823759001418,descriptive_available,0.007982717284872449,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,observation_weighted,temporal_block,pr_auc,higher,0.9016724115549355,descriptive_available,0.02306392609876708,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,brier,lower,0.9224270819571789,descriptive_available,0.011943990799984794,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,mcar,pr_auc,higher,0.8068322733623553,descriptive_available,0.04632361215149279,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,brier,lower,0.9605591704301762,descriptive_available,0.015232704220229945,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,2,site_weighted,temporal_block,pr_auc,higher,0.9108511493076671,descriptive_available,0.034369274033797304,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,brier,lower,0.9306021547363154,descriptive_available,0.029644883343769857,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,pr_auc,higher,0.8259942596942972,descriptive_available,0.0661107973585168,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,brier,lower,0.9590789968741686,descriptive_available,0.012839023602644137,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,pr_auc,higher,0.8978054820968122,descriptive_available,0.027208202575119085,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,brier,lower,0.9551826642974393,descriptive_available,0.04120364142136321,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,pr_auc,higher,0.8463706946826732,descriptive_available,0.06433074084060547,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,brier,lower,0.9774490380231937,descriptive_available,0.027567871380066354,5
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,pr_auc,higher,0.9109657584204729,descriptive_available,0.04709497299235056,5
fresh_primary,P1,1729,1729,seed,1,observation_weighted,mcar,brier,lower,0.9216940496000563,estimated,,1
fresh_primary,P1,314159,314159,seed,1,observation_weighted,mcar,brier,lower,0.9151546070779634,estimated,,1
fresh_primary,P1,20260612,20260612,seed,1,observation_weighted,mcar,brier,lower,0.9453863046264602,estimated,,1
